date,total_energy
2018-01-01,6287.680033468
2018-01-02,8042.225017647
2018-01-03,7890.810021429
2018-01-04,8114.895017136
2018-01-05,7711.140000383
2018-01-06,6604.300006858
2018-01-07,6072.895003867
2018-01-08,7709.780001391
2018-01-09,7793.124990523
2018-01-10,7843.675003818
2018-01-11,8506.40003427
2018-01-12,7925.165008647
2018-01-13,6299.840001292
2018-01-14,5852.599999017
2018-01-15,6212.074997665
2018-01-16,7827.439811404
2018-01-17,8146.938709148
2018-01-18,8031.430517178
2018-01-19,7509.545784397
2018-01-20,6236.600179421
2018-01-21,5684.724995716
2018-01-22,6273.612232365
2018-01-23,7642.152764331
2018-01-24,8954.645015392
2018-01-25,8458.039974089
2018-01-26,8617.325007292
2018-01-27,6640.444999376
2018-01-28,6900.020000237
2018-01-29,8238.955011982
2018-01-30,8395.594999662
2018-01-31,8997.339995489
2018-02-01,9160.339998288
2018-02-02,8873.444989645
2018-02-03,7194.79500077
2018-02-04,8013.509989656
2018-02-05,8711.81500556
2018-02-06,11412.599995884
2018-02-07,8875.914988886
2018-02-08,9197.22999857
2018-02-09,8578.871794257
2018-02-10,6817.59806474
2018-02-11,6281.25013452
2018-02-12,8064.859998076
2018-02-13,7023.279991908
2018-02-14,7710.014251248
2018-02-15,7611.030734386
2018-02-16,7906.745001239
2018-02-17,6908.794991881
2018-02-18,6093.3499802
2018-02-19,5776.480002478
2018-02-20,7337.918670445
2018-02-21,8184.572193056
2018-02-22,7890.49571275
2018-02-23,7300.993585562
2018-02-24,6392.659813364
2018-02-25,6338.389989639
2018-02-26,5995.724997892
2018-03-01,7285.490010901
2018-03-02,7185.543330567
2018-03-03,6639.561663241
2018-03-04,6511.190000919
2018-03-05,7276.88000077
2018-03-06,8155.824999448
2018-03-07,8441.67999749
2018-03-08,8207.579998402
2018-03-09,8233.714989979
2018-03-10,7315.755001544
2018-03-11,7295.349998674
2018-03-12,2064.130001754
2018-03-13,0.0
2018-03-14,0.0
2018-03-15,0.0
2018-03-16,0.0
2018-03-17,0.0
2018-03-18,0.0
2018-03-19,6409.919990237
2018-03-20,8232.708558479
2018-03-21,7522.58644229
2018-03-22,7000.909996254
2018-03-23,7441.0999978830005
2018-03-24,5849.449998049
2018-03-25,6215.7133349040005
2018-03-26,8116.576665327
2018-03-27,9085.950000225
2018-03-28,9021.319989683
2018-03-29,9556.679998736
2018-03-30,9392.249996821
2018-03-31,7651.044476457
2018-04-01,6882.980507831
2018-04-02,7791.390004788
2018-04-03,6557.069988158
2018-04-04,6543.170003635
2018-04-05,6467.209996502
2018-04-06,5961.300004636
2018-04-07,4642.75999915
2018-04-08,4673.459996506
2018-04-09,7467.289371118
2018-04-10,7107.97061197
2018-04-11,6044.90999129
2018-04-12,6515.164993135
2018-04-13,7991.714993969
2018-04-14,7611.569994417
2018-04-15,6229.439997001
2018-04-16,7318.54999686
2018-04-17,8216.022386337
2018-04-18,9721.162578371
2018-04-19,8058.380008625
2018-04-20,8321.555007234
2018-04-21,7397.230002274
2018-04-22,7797.9450058
2018-04-23,8674.874997864
2018-04-24,7620.609997699
2018-04-25,7896.225001376
2018-04-26,7390.488333508
2018-04-27,6305.806660745
2018-04-28,6192.280003772
