date,hour,energy_kWh
2018-08-01,00,0.92
2018-08-01,01,0.91
2018-08-01,02,0.85
2018-08-01,03,0.81
2018-08-01,04,0.93
2018-08-01,05,0.79
2018-08-01,06,0.80
2018-08-01,07,1.75
2018-08-01,08,2.07
2018-08-01,09,1.74
2018-08-01,10,1.83
2018-08-01,11,1.73
2018-08-01,12,1.92
2018-08-01,13,1.85
2018-08-01,14,1.54
2018-08-01,15,0.56
2018-08-01,16,0.63
2018-08-01,17,0.58
2018-08-01,18,0.66
2018-08-01,19,0.62
2018-08-01,20,0.70
2018-08-01,21,1.93
2018-08-01,22,1.44
2018-08-01,23,0.86
2018-08-02,00,0.96
2018-08-02,01,1.00
2018-08-02,02,1.14
2018-08-02,03,1.30
2018-08-02,04,1.39
2018-08-02,05,1.67
2018-08-02,06,1.84
2018-08-02,07,2.55
2018-08-02,08,2.01
2018-08-02,09,1.76
2018-08-02,10,1.98
2018-08-02,11,2.10
2018-08-02,12,2.16
2018-08-02,13,2.40
2018-08-02,14,2.06
2018-08-02,15,0.61
2018-08-02,16,0.56
2018-08-02,17,0.56
2018-08-02,18,0.48
2018-08-02,19,0.49
2018-08-02,20,0.51
2018-08-02,21,0.58
2018-08-02,22,0.48
2018-08-02,23,0.49
2018-08-03,00,0.51
2018-08-03,01,0.55
2018-08-03,02,0.51
2018-08-03,03,0.51
2018-08-03,04,0.53
2018-08-03,05,0.53
2018-08-03,06,0.65
2018-08-03,07,0.50
2018-08-03,08,0.46
2018-08-03,09,0.51
2018-08-03,10,0.56
2018-08-03,11,0.57
2018-08-03,12,
2018-08-03,13,0.56
2018-08-03,14,0.61
2018-08-03,15,0.60
2018-08-03,16,0.54
2018-08-03,17,0.58
2018-08-03,18,0.59
2018-08-03,19,0.69
2018-08-03,20,1.53
2018-08-03,21,0.50
2018-08-03,22,0.44
2018-08-03,23,0.50
2018-08-04,00,0.43
2018-08-04,01,0.45
2018-08-04,02,0.43
2018-08-04,03,0.42
2018-08-04,04,0.52
2018-08-04,05,0.44
2018-08-04,06,0.48
2018-08-04,07,0.44
2018-08-04,08,0.43
2018-08-04,09,0.48
2018-08-04,10,0.44
2018-08-04,11,0.41
2018-08-04,12,0.39
