HouseID,StartDate,EndDate,Cover,HouseType,Facing,Region,Rentals,FAGF,HP,FPG,FPE,IFRHG,NAC,FAC,PAC,BHE,IFRHE,WRHIR,GEOTH
1,2012-06-01,2015-10-03,1.0,bungalow,South,YVR,1.0,1,1,1,0,0,0,0,0,0,0,0,0
2,2016-06-09,2019-11-20,0.994,duplex,North,YVR,0.0,0,0,1,0,1,1,0,0,0,0,0,0
3,2015-01-27,2018-01-29,0.987,modern,South,YVR,2.0,0,0,0,0,1,1,0,0,1,0,0,0
4,2015-01-30,2018-01-29,0.995,character,West,YVR,1.0,1,0,0,0,1,1,0,0,0,0,0,0
5,2015-01-30,2018-01-29,0.995,modern,South,YVR,1.0,0,0,0,0,1,1,0,0,0,0,0,0
6,2015-01-30,2018-01-29,0.997,apartment,South-West,YVR,0.0,0,0,0,0,0,1,0,0,1,0,0,0
7,2015-01-30,2018-01-29,0.99,,,,,0,0,0,0,0,0,0,0,0,0,0,0
8,2015-02-21,2018-02-20,0.987,character,South,YVR,0.0,1,0,0,0,0,0,0,1,0,0,0,0
9,2015-05-01,2018-02-21,0.996,special,South,YVR,0.0,0,0,1,0,1,1,0,0,0,0,0,0
10,2015-02-21,2018-02-20,0.995,special,South,YVR,0.0,1,0,0,0,0,1,0,0,0,0,0,0
11,2015-02-21,2018-02-20,0.99,duplex,North,YVR,0.0,1,0,0,0,0,1,0,0,1,1,0,0
12,2015-02-21,2018-02-20,0.992,apartment,North-West,YVR,0.0,0,0,0,0,1,1,0,0,0,0,0,0
13,2015-02-21,2018-02-20,0.998,special,North,YVR,1.0,1,0,0,0,0,1,0,0,0,0,0,0
14,2015-02-21,2018-02-20,0.995,modern,South,YVR,1.0,0,0,0,0,1,1,0,0,0,0,0,0
15,2015-09-29,2018-02-20,0.995,bungalow,North-East,WYJ,1.0,1,0,0,0,0,1,0,0,0,0,0,0
16,2017-11-01,2019-02-18,0.881,apartment,North-East,YVR,0.0,0,0,0,0,0,1,0,0,1,0,0,0
17,2016-06-01,2017-04-29,0.996,apartment,South-West,YVR,0.0,0,0,0,0,0,1,0,0,1,0,0,0
18,2015-03-16,2018-03-15,0.986,bungalow,East,YVR,0.0,1,0,0,0,0,0,0,1,0,0,0,0
19,2015-03-26,2018-03-25,0.993,special,West,YVR,0.0,1,0,0,0,0,1,0,0,0,0,0,0
20,2015-08-21,2018-04-20,0.998,character,North,YVR,0.0,0,0,0,0,0,1,0,0,0,0,1,0
21,2017-11-01,2018-06-04,0.989,laneway,West,YVR,0.0,0,0,0,0,1,1,0,0,0,0,0,0
22,2016-06-29,2018-06-05,0.996,apartment,South,YVR,0.0,0,0,0,0,0,1,0,0,1,0,0,0
23,2017-07-27,2020-04-05,0.985,apartment,South-East,YVR,0.0,0,0,1,0,0,1,0,0,1,0,0,0
24,2017-05-13,2020-05-12,0.998,modern,South,YVR,0.0,1,0,0,0,0,0,1,0,0,0,0,0
25,2017-05-15,2020-05-14,0.994,character,South,YVR,0.0,0,0,0,0,1,1,0,0,0,0,0,0
26,2019-11-29,2020-05-20,0.997,apartment,NNW,YVR,0.0,0,0,0,0,0,1,0,0,0,0,0,1
27,2019-03-06,2020-05-20,0.997,apartment,North-West,YVR,0.0,0,0,0,0,0,1,0,0,1,0,0,0
28,2018-08-01,2020-05-19,0.998,special,North,YVR,0.0,1,0,2,1,0,1,0,0,0,0,0,0
